ORIGEM,DESTINO,NECESSIDADE
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SAÚDE
AREAL,VICENTE PIRES,LIMPEZA URBANA
AREAL,VICENTE PIRES,OUTROS
ÁGUAS LINDAS,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
SAMAMBAIA,VICENTE PIRES,TRANSPORTE PÚBLICO
SAMAMBAIA,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,ILUMINAÇÃO PÚBLICA
VECENTE PIRES,VICENTE PIRES,LIMPEZA URBANA
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,ILUMINAÇÃO PÚBLICA
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VICENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
